Category,Accuracy,Support
shark,0.25,60
dolphin,0.2167,60
squid,0.2167,60
caterpillar,0.2167,60
sandpiper,0.2,60
turtle,0.2,60
mosquito,0.2,60
hummingbird,0.2,60
panda,0.2,60
reindeer,0.2,60
bat,0.1833,60
whale,0.1833,60
tiger,0.1833,60
penguin,0.1833,60
ladybugs,0.1667,60
possum,0.1667,60
orangutan,0.1667,60
mouse,0.1667,60
hyena,0.1667,60
eagle,0.1667,60
elephant,0.1667,60
dragonfly,0.15,60
cockroach,0.15,60
antelope,0.15,60
porcupine,0.15,60
zebra,0.15,60
otter,0.15,60
lobster,0.15,60
rhinoceros,0.15,60
wolf,0.15,60
sparrow,0.15,60
turkey,0.15,60
goldfish,0.15,60
jellyfish,0.15,60
oyster,0.1333,60
swan,0.1333,60
bee,0.1333,60
bison,0.1333,60
cat,0.1333,60
duck,0.1333,60
dog,0.1333,60
donkey,0.1333,60
bear,0.1333,60
badger,0.1333,60
wombat,0.1333,60
woodpecker,0.1333,60
seahorse,0.1333,60
okapi,0.1333,60
deer,0.1333,60
flamingo,0.1333,60
coyote,0.1333,60
cow,0.1333,60
hippopotamus,0.1333,60
hare,0.1333,60
grasshopper,0.1333,60
fly,0.1333,60
goat,0.1333,60
gorilla,0.1333,60
leopard,0.1333,60
rat,0.1167,60
squirrel,0.1167,60
crab,0.1167,60
boar,0.1167,60
beetle,0.1167,60
seal,0.1167,60
kangaroo,0.1167,60
hornbill,0.1167,60
horse,0.1167,60
hamster,0.1167,60
hedgehog,0.1167,60
lion,0.1167,60
owl,0.1167,60
lizard,0.1167,60
octopus,0.1167,60
raccoon,0.1167,60
pig,0.1167,60
pigeon,0.1167,60
butterfly,0.1,60
chimpanzee,0.1,60
crow,0.1,60
goose,0.1,60
fox,0.1,60
ox,0.1,60
moth,0.1,60
koala,0.1,60
parrot,0.1,60
pelecaniformes,0.1,60
starfish,0.1,60
sheep,0.1,60
snake,0.1,60
